Date,Open,High,Low,Close,Volume,Currency
2021-11-04,24628.1,25926.4,24344.1,25926.4,30078100,VND
2021-11-05,26616.2,26616.2,26048.1,26129.3,17080900,VND
2021-11-08,26169.9,27792.8,26169.9,27468.2,23296500,VND
2021-11-09,27224.8,28198.5,27103.1,28198.5,19090100,VND
2021-11-10,28604.3,28726.0,27671.1,28157.9,19387100,VND
2021-11-11,28401.4,28888.3,27103.1,27833.4,32946000,VND
2021-11-12,28076.8,28401.4,27589.9,28360.8,14230000,VND
2021-11-15,28847.7,29375.2,27995.7,28482.5,15546900,VND
2021-11-16,28198.5,28888.3,27833.4,28198.5,17721900,VND
2021-11-17,29131.7,30146.1,28726.0,30146.1,29900600,VND
2021-11-18,31201.0,32255.9,30632.9,31485.0,20537600,VND
2021-11-19,31647.3,31728.4,29294.0,30430.1,29586600,VND
2021-11-22,30430.1,31444.4,29578.0,30632.9,23617400,VND
2021-11-23,30673.5,32742.8,30348.9,32742.8,18381200,VND
2021-11-24,33189.1,33554.2,32499.3,33026.8,15088400,VND
2021-11-25,32905.0,33635.4,32499.3,32905.0,14705400,VND
2021-11-26,32905.0,33067.3,31444.4,31647.3,32618400,VND
2021-11-29,31241.5,32661.6,30916.9,32418.2,13962600,VND
2021-11-30,33067.3,33107.9,31485.0,32053.0,19992200,VND
2021-12-01,31931.3,32053.0,31241.5,31647.3,17324400,VND
2021-12-02,31525.6,32255.9,31282.1,31525.6,9220800,VND
2021-12-03,31809.6,31850.1,29618.6,29618.6,20851300,VND
2021-12-06,30024.3,31038.7,29253.4,29983.8,22238200,VND
2021-12-07,30592.4,30673.5,29659.2,30308.3,12237600,VND
2021-12-08,30673.5,31038.7,30227.2,30795.2,11143000,VND
2021-12-09,30592.4,32418.2,30470.6,32418.2,13538400,VND
2021-12-10,32255.9,32742.8,31647.3,32053.0,11302500,VND
2021-12-13,32215.3,32864.5,31687.8,32661.6,16663600,VND
2021-12-14,32823.9,33189.1,32134.2,32742.8,12661700,VND
2021-12-15,32702.2,32945.6,32053.0,32053.0,10600000,VND
2021-12-16,32093.6,32418.2,30998.1,31241.5,23675600,VND
2021-12-17,31485.0,32458.7,31038.7,32458.7,24599800,VND
2021-12-20,32864.5,34690.3,32458.7,34568.6,25147500,VND
2021-12-21,34730.9,35014.9,34162.8,34406.3,14270700,VND
2021-12-22,34690.3,34690.3,33594.8,33797.7,18030000,VND
2021-12-23,33473.1,33675.9,31647.3,31971.9,30523900,VND
2021-12-24,32053.0,32823.9,31241.5,32418.2,11248300,VND
2021-12-27,32905.0,33432.5,32458.7,32458.7,8262100,VND
2021-12-28,32499.3,32945.6,31850.1,31850.1,13733400,VND
2021-12-29,31769.0,32580.5,31322.7,32053.0,11480400,VND
2021-12-30,32418.2,33675.9,32053.0,33594.8,17295100,VND
2021-12-31,34000.5,34000.5,33026.8,33270.2,9045600,VND
2022-01-04,33310.8,34244.0,33270.2,33675.9,12664200,VND
2022-01-05,33675.9,34406.3,33310.8,33310.8,16192900,VND
2022-01-06,33189.1,33716.5,32864.5,32945.6,13889100,VND
2022-01-07,32661.6,33148.5,32337.0,32458.7,15000000,VND
2022-01-10,32255.9,32702.2,31322.7,31322.7,27874400,VND
2022-01-11,32053.0,32053.0,29618.6,29618.6,24507400,VND
2022-01-12,29415.7,31119.8,29212.9,30998.1,19665600,VND
2022-01-13,31201.0,31403.8,29294.0,29578.0,14441000,VND
2022-01-14,29212.9,29943.2,29212.9,29212.9,9303100,VND
2022-01-17,29212.9,29375.2,27184.2,27184.2,38870300,VND
2022-01-18,26413.3,26778.5,25317.8,25317.8,25085400,VND
2022-01-19,26169.9,27062.5,25845.3,27062.5,14095400,VND
2022-01-20,27184.2,28198.5,26291.6,27508.8,12991000,VND
2022-01-21,27468.2,27468.2,26656.7,26697.3,8233700,VND
2022-01-24,25926.4,26291.6,24830.9,24830.9,26677800,VND
2022-01-25,24587.5,25561.3,23978.9,25439.5,10011700,VND
2022-01-26,25561.3,26129.3,24952.7,25520.7,11229500,VND
2022-01-27,25317.8,27103.1,25196.1,26372.7,10634800,VND
2022-01-28,26372.7,27995.7,26291.6,27995.7,11621400,VND
2022-02-07,28320.3,29131.7,28076.8,28563.7,10002600,VND
2022-02-08,28604.3,28604.3,27671.1,28401.4,6725100,VND
2022-02-09,28401.4,29578.0,28198.5,29212.9,12456200,VND
2022-02-10,29172.3,29496.9,28442.0,28807.1,6697500,VND
2022-02-11,28644.8,29294.0,28482.5,29010.0,7858300,VND
2022-02-14,28279.7,28807.1,27589.9,27589.9,11149700,VND
2022-02-15,27995.7,28644.8,27387.1,28523.1,10103400,VND
2022-02-16,28807.1,29618.6,28604.3,29010.0,6780500,VND
2022-02-17,29010.0,29172.3,28685.4,28847.7,6242000,VND
2022-02-18,28442.0,29578.0,28320.3,29253.4,11882200,VND
2022-02-21,29456.3,30835.8,29415.7,30470.6,14233900,VND
2022-02-22,29902.6,30348.9,29415.7,29821.5,11194800,VND
2022-02-23,30064.9,30389.5,29943.2,30186.6,5748300,VND
2022-02-24,30064.9,31403.8,29212.9,30835.8,23669900,VND
2022-02-25,31241.5,32864.5,31079.2,31687.8,27441900,VND
2022-02-28,32255.9,32580.5,31606.7,31971.9,14762400,VND
2022-03-01,32134.2,32337.0,31566.1,31850.1,16118200,VND
2022-03-02,31485.0,31769.0,30632.9,30795.2,24876400,VND
2022-03-03,30957.5,31201.0,30470.6,31160.4,10401400,VND
2022-03-04,31444.4,32012.4,31241.5,31241.5,11318000,VND
2022-03-07,30957.5,31444.4,30835.8,30876.4,16471100,VND
2022-03-08,30511.2,31241.5,30430.1,30430.1,17836300,VND
2022-03-09,30592.4,30714.1,29821.5,29821.5,29104300,VND
2022-03-10,31850.0,31850.0,31850.0,31850.0,2000300,VND
2022-03-11,34050.0,34050.0,32500.0,32500.0,32597700,VND
